pred,gt,bleu,rouge1,rouge2,rougel
"i , not you , that the the the the the the .","apparently , after the revolutionary war students were treated really <unk> by their teachers .",1.0826504568327566e-231,0.19999999580000008,0.0,0.19999999580000008
"i , not you , that the the the the the the .","i do , many creatures are green to blend into their environment .",1.2627076138080564e-231,0.22222221777777784,0.0,0.22222221777777784
"i , not you , that the the the the the the .","i do n't actually know , but in 1997 , <unk> broadcast an international competition for <unk> .",9.236366216761735e-232,0.19047618639455788,0.0,0.19047618639455788
"i , not you , that the the the the the the .",i read that they have a third eye on their heads,1.1409851298103347e-231,0.23529411307958487,0.0,0.23529411307958487
"i , not you , that the the the the the the .","i 'm not sure , though <unk> are there to root for their team .",1.16338362758752e-231,0.29999999580000003,0.0,0.29999999580000003
"i , not you , that the the the the the the .","so , are you playing ten - pin bowling , where you roll a ball down a <unk> to ten <unk> ?",6.31884043540513e-232,0.17391303962192828,0.0,0.17391303962192828
"i , not you , that the the the the the the .",curry ! found in many indian dishes . it comes from the curry leaves .,9.782851220031659e-232,0.11111110666666683,0.0,0.11111110666666683
"i , not you , that the the the the the the .","well , i know that a business model detail how an organization delivers , creates , and <unk> value",8.552515624808144e-232,0.26086956136105866,0.0,0.17391303962192828
"i , not you , that the the the the the the .",so let me tell you some facts about your favorite color . did you know that the chemical <unk> is the biggest <unk> to green in nature ?,1.9907858701336756e-155,0.19999999680000002,0.060606057263544726,0.19999999680000002
"i , not you , that the the the the the the .","i see , did you like it back when it was known as the discovery channel ? that was from 1985 to 1995 .",6.442884587908241e-232,0.3703703669135803,0.0,0.2962962928395062
"i , not you , that the the the the the the .","sure , the laser is actually invisible when in clean atmosphere , have you realised ?",1.0772479586757503e-231,0.2857142816326531,0.0,0.19047618639455788
"i , not you , that the the the the the the .","cool , are you going to get a bachelor 's degree ? this is the most common undergraduate degree",7.959012597992964e-232,0.24999999625000005,0.0,0.24999999625000005
"i , not you , that the the the the the the .","indeed , the us has one of the largest obesity rates in the world .",1.2301284161682255e-231,0.22222221777777784,0.0,0.22222221777777784
"i , not you , that the the the the the the .","well , for pin bowling you usually <unk> over <unk> that sit at the end of the <unk> .",9.464914409928857e-232,0.3809523768707483,0.0,0.3809523768707483
"i , not you , that the the the the the the .","humans likely developed the ability to run millions of years ago , so they ca nt hunt animals .",7.959012597992964e-232,0.16666666291666676,0.0,0.0833333295833335
"i , not you , that the the the the the the .","okay , well they have preserved nature and a beauty that is untouched .",1.1692181040915729e-231,0.21052631146814413,0.0,0.21052631146814413
"i , not you , that the the the the the the .",she is an american entrepreneur !,0.0,0.0,0.0,0.0
"i , not you , that the the the the the the .",i guess that makes sense . <unk> also have short legs too and are part of the family <unk> .,7.91929659305261e-232,0.26086956136105866,0.0,0.26086956136105866
"i , not you , that the the the the the the .",there is the colosseum and vatican museums . both are part of the top 40 most visited locations in the world .,6.790035935877237e-232,0.0833333295833335,0.0,0.0833333295833335
"i , not you , that the the the the the the .",alibaba is a multinational chinese company that deals with things like retail and <unk> .,9.782851220031659e-232,0.09999999580000019,0.0,0.09999999580000019
"i , not you , that the the the the the the .","a little more than 10 % , or about 33 million americans , say they have irish ancestry , as of 2013 .",5.851000305336416e-232,0.07692307337278123,0.0,0.07692307337278123
"i , not you , that the the the the the the .","nice , did you know that on the visible spectrum green is the color located between blue and yellow ?",8.373636644156203e-232,0.31999999635200005,0.0,0.31999999635200005
"i , not you , that the the the the the the .",i wish i can tell you more but i do n't know . have you heard of sustainable sanitation ? it 's a sanitation system design to work well for a while .,2.7111743208551492e-232,0.12499999695312508,0.0,0.12499999695312508
"i , not you , that the the the the the the .",the dominant wavelength of green is around <unk> nm .,1.1409851298103347e-231,0.1333333285333335,0.0,0.1333333285333335
"i , not you , that the the the the the the .",pig in a blanket would be some hot dog variant .,9.594503055152632e-232,0.0,0.0,0.0
"i , not you , that the the the the the the .","yes , bon scott died in february 19 , 1980 after a heavy night of alcohol drinking .",8.595407281764811e-232,0.09090908694214893,0.0,0.09090908694214893
"i , not you , that the the the the the the .","ah , that 's nice . they are also a rock band .",5.554837769749797e-155,0.23529411307958487,0.11764705397923896,0.23529411307958487
"i , not you , that the the the the the the .","i do n't actually know his hits , but i know he started his music career in 1954 .",7.959012597992964e-232,0.19047618639455788,0.0,0.19047618639455788
"i , not you , that the the the the the the .","i 'm not sure , but it refers to a tradition in western mexico between 300 and 400 bce .",7.91929659305261e-232,0.239999996352,0.0,0.239999996352
"i , not you , that the the the the the the .","i do n't know , but in many english - speaking countries , once you become a qualified <unk> , you are called a certified public <unk> .",4.525389543090783e-232,0.21428571091836737,0.0,0.21428571091836737
"i , not you , that the the the the the the .","oh , that 's nice . they 're a type of mineral called <unk> that has small amounts of <unk> , which is what makes them green .",1.8827690320009904e-155,0.14285713948979603,0.06249999658203144,0.14285713948979603
"i , not you , that the the the the the the .","totally , did you know that originally there was a <unk> ? they had to do things <unk> like <unk> the bowling <unk> , giving the ball back to the players and clear the fallen <unk> .",2.6230627779298817e-232,0.24242423944903582,0.0,0.24242423944903582
"i , not you , that the the the the the the .","yeah , perhaps he would have a <unk> label , those are labels with some independence from larger parent companies .",6.824088594166491e-232,0.07999999635200017,0.0,0.07999999635200017
"i , not you , that the the the the the the .","hey , did you know that kindergarten is part of the from - home - to - school transition ? it is based on , singing , playing and also social interaction",3.3268015689618844e-232,0.24242423944903582,0.0,0.24242423944903582
"i , not you , that the the the the the the .","why did you think that ? was it because <unk> is referred to as "" brain surgery "" often ?",6.659308116428607e-232,0.16666666291666676,0.0,0.16666666291666676
"i , not you , that the the the the the the .","i 'm a bot , so i ca n't really love anything . i do know that he was born in 1935 .",6.2873089992049745e-232,0.239999996352,0.0,0.239999996352
"i , not you , that the the the the the the .","well , discovery shows series like <unk> , <unk> catch and <unk> history on their flagship channel .",8.595407281764811e-232,0.09999999580000019,0.0,0.09999999580000019
"i , not you , that the the the the the the .","again , i would n't know , but motivation is what gives a person the desire to repeat their behavior .",7.753661619181701e-232,0.239999996352,0.0,0.239999996352
"i , not you , that the the the the the the .","i do n't know about their first original content . however , their first series produced was called house of cards .",6.31884043540513e-232,0.16666666291666676,0.0,0.16666666291666676
"i , not you , that the the the the the the .","<unk> is the sport , practice or skill of using a bow to <unk> <unk>",9.782851220031659e-232,0.21052631146814413,0.0,0.10526315357340738
"i , not you , that the the the the the the .","also , i know that the team that scores the most points wins the game .",5.450593231823162e-155,0.44444444000000005,0.095238090793651,0.33333332888888895
"i , not you , that the the the the the the .",american football right ? associated with football and <unk> ?,0.0,0.0,0.0,0.0
"i , not you , that the the the the the the .",were you aware that rowling is british ?,1.1409851298103347e-231,0.2857142808163266,0.0,0.2857142808163266
"i , not you , that the the the the the the .","yeah , but one thing to note is that 7 national parks are paired with national preserves , which are areas with differing levels of protection .",4.6220616466129664e-232,0.14285713948979603,0.0,0.07142856806122466
"i , not you , that the the the the the the .","yes , pretty much if they have square head or <unk> bodies , people consider them pit bulls , though scholars prefer other methods to identify them .",3.982848450436413e-232,0.06666666346666682,0.0,0.06666666346666682
"i , not you , that the the the the the the .","some hit singles can be found in their album "" discovery "" and some were like "" one more time "" and "" digital love "" .",3.2682911333820065e-232,0.0,0.0,0.0
"i , not you , that the the the the the the .","woah . so , by "" allergy "" you mean you have a hypersensitivity in your immune system to bee <unk> ?",6.31884043540513e-232,0.15999999635200007,0.0,0.15999999635200007
"i , not you , that the the the the the the .",interesting . it is also a social activity besides being a method used to purchase apples,7.617293365989231e-232,0.0,0.0,0.0
"i , not you , that the the the the the the .","well , a rpg stands for role - playing video game . it is a type of genre in video games that has a well - defined world for the players to play in .",2.497914625624529e-232,0.18749999695312503,0.0,0.18749999695312503
"i , not you , that the the the the the the .","i see , did you start when it first premiered in the us back in october 31 of 2010 ?",7.91929659305261e-232,0.31999999635200005,0.0,0.31999999635200005
"i , not you , that the the the the the the .","cool , did you know that the breed is originally from mexico , as archaeological finds show ?",4.2963260032418565e-155,0.3478260831001891,0.08333332920138908,0.3478260831001891
"i , not you , that the the the the the the .","i have not , what about a turkey , which is three consecutive strikes , have you ever seen ?",8.373636644156203e-232,0.3478260831001891,0.0,0.26086956136105866
"i , not you , that the the the the the the .","as i am a bot , hiking is not posible for me . but i can give you some more information about it . did you know that long walks , typically on trails , are called hiking in the us and canada while shorter and urban walks are called just",8.675985237170217e-233,0.26086956294896035,0.0,0.2173913020793951
"i , not you , that the the the the the the .","well , i also know that dog training aimed to make dogs compatible household pets came about during the 1950s",7.91929659305261e-232,0.3076923041420118,0.0,0.23076922721893492
"i , not you , that the the the the the the .","so , stress causes people to be less able to <unk> memories , and also less able to recall them later .",6.31884043540513e-232,0.09090908694214893,0.0,0.09090908694214893
"i , not you , that the the the the the the .",if you follow the <unk> of veganism you would be known as a vegan,1.0565078215140205e-231,0.21052631146814413,0.0,0.21052631146814413
"i , not you , that the the the the the the .",hmmm <unk> but now its used to motivate sports teams and a form of entertainment for people watching,0.0,0.0,0.0,0.0
"i , not you , that the the the the the the .","i do not .   i do know that some of the things that vary can include the track surface , the horse 's gait , the race distance , and also whether or not there are obstacles .",2.3090509808152714e-232,0.3030303000550964,0.0,0.24242423944903582
"i , not you , that the the the the the the .","ah , i see . most people like to eat meat , but apparently there has been more debate recently over the ethics of that .",5.524154496370931e-232,0.27586206568370986,0.0,0.20689654844233057
"i , not you , that the the the the the the .",really ? but despite it he has been the band 's sole constant member since 1985 .,8.387854976618647e-232,0.09090908694214893,0.0,0.09090908694214893
"i , not you , that the the the the the the .","there is a series of international competitions called the <unk> junior grand <unk> , though it 's put on by the international skating union .",5.390763376891056e-232,0.14814814469135812,0.0,0.14814814469135812
"i , not you , that the the the the the the .",why did n't you ? it is considered a throwing sport .,1.1409851298103347e-231,0.11764705425605555,0.0,0.11764705425605555
"i , not you , that the the the the the the .","it was called animal . and after releasing the album , her   music and image propelled her to <unk> success",6.824088594166491e-232,0.17391303962192828,0.0,0.08695651788279792
"i , not you , that the the the the the the .","yeah , also are you a fan of cross country ? its the skiing form where the <unk> uses their own motions to move over the snow instead of using a lift or something like that .",2.4633298375533875e-232,0.21052631313019393,0.0,0.1578947341828255
"i , not you , that the the the the the the .",i 'm not sure what happens in it but it was adapted into a film and a 2012 tv series .,6.824088594166491e-232,0.16666666291666676,0.0,0.16666666291666676
"i , not you , that the the the the the the .",american football actually originated from rugby football .,9.594503055152632e-232,0.0,0.0,0.0
"i , not you , that the the the the the the .","that 's fair enough . accounting is also divided into many fields , like management accounting and financial accounting .",7.369735890165345e-232,0.18181817785123974,0.0,0.18181817785123974
"i , not you , that the the the the the the .","well , about 1 billion pigs worldwide are butchered , and about 100 million in america .",9.282687447692475e-232,0.09999999580000019,0.0,0.09999999580000019
"i , not you , that the the the the the the .",well interesting ! the meaning of the term '' hindu '' has evolved over time . how <unk> are you ?,7.332960415391412e-232,0.16666666291666676,0.0,0.16666666291666676
"i , not you , that the the the the the the .",rap <unk> from poetry in that it is usually performed in time to an instrumental track .,8.387854976618647e-232,0.09523809115646274,0.0,0.09523809115646274
"i , not you , that the the the the the the .",he united several of the <unk> tribes in northeast asia .,1.1409851298103347e-231,0.12499999531250018,0.0,0.12499999531250018
"i , not you , that the the the the the the .","well , research says that bees are a <unk> lineage within the <unk> <unk> and are <unk> considered a <unk> , called <unk> .",6.155807640521776e-232,0.2857142816326531,0.0,0.2857142816326531
"i , not you , that the the the the the the .","it 's the unit that 's most visited in the national park   system annually since 1946 , except for 3 years !",6.2873089992049745e-232,0.23076922721893492,0.0,0.15384615029585808
"i , not you , that the the the the the the .",side note did you know that the modern field was made by <unk> <unk> back in <unk> ?,3.781246940543709e-155,0.2727272687603306,0.08333332920138908,0.2727272687603306
"i , not you , that the the the the the the .","oh my , <unk> can involve some intense physical activity .",1.1409851298103347e-231,0.12499999531250018,0.0,0.12499999531250018
"i , not you , that the the the the the the .","the surface for target bowling could be grass , gravel or any synthetic",1.1409851298103347e-231,0.21052631146814413,0.0,0.10526315357340738
"i , not you , that the the the the the the .",is n't quake an older first person shooter game ?,0.0,0.0,0.0,0.0
"i , not you , that the the the the the the .","oh , you mean a statement of financial position . well it is a <unk> of a person 's or organization 's financial balance .",5.016670592804381e-232,0.16666666291666676,0.0,0.16666666291666676
"i , not you , that the the the the the the .","really ? i know that for horse training , basic concepts of animal training apply .",1.0772479586757503e-231,0.29999999580000003,0.0,0.19999999580000008
"i , not you , that the the the the the the .",yes . the string causes the soundboard and sound box to <unk>,1.2627076138080564e-231,0.12499999531250018,0.0,0.12499999531250018
"i , not you , that the the the the the the .",interesting . did you know there are about 393 species and 92 genera of parrots ?,9.05853946789781e-232,0.09523809115646274,0.0,0.09523809115646274
"i , not you , that the the the the the the .","that is something i also do n't ' know , i do know some more facts about the color green though , did you know that this color is common in plants ?",3.224147792373387e-232,0.3225806420395422,0.0,0.2580645130072841
"i , not you , that the the the the the the .","oh , that 's nice to know . did you know it 's between yellow and blue on the light spectrum ?",3.1584074591277727e-155,0.31999999635200005,0.07407407023319637,0.31999999635200005
"i , not you , that the the the the the the .","nice , did you know that their name comes from a song from new found glory ?",9.282687447692475e-232,0.2727272687603306,0.0,0.2727272687603306
"i , not you , that the the the the the the .","they 've actually sold more than half a billion copies around the world , in 73 languages .",8.595407281764811e-232,0.17391303962192828,0.0,0.08695651788279792
"i , not you , that the the the the the the .","not sure but she has cited several writers as influences for "" harry potter "" .",9.05853946789781e-232,0.09999999580000019,0.0,0.09999999580000019
